iter	RMSE
357	0.2078849702
358	0.2078266931
359	0.2077203059
360	0.2075803005
361	0.207462946
362	0.2073220912
363	0.2072456265
364	0.2071590747
365	0.2070863526
366	0.2069948265
367	0.2069134862
368	0.2068458461
369	0.2067285181
370	0.2066392368
371	0.2065518297
372	0.2064014945
373	0.2063405469
374	0.2062661368
375	0.2061794378
376	0.2061042036
377	0.2060295923
378	0.2058792233
379	0.2057556166
380	0.2056461738
381	0.2055327661
382	0.2054533586
383	0.205376099
384	0.2052954678
385	0.2051997373
386	0.2050755521
387	0.2049734622
388	0.2049019309
389	0.2048248295
390	0.2047656385
391	0.2046772409
392	0.204620478
393	0.2045043061
394	0.2044378931
395	0.2043349067
396	0.2042556225
397	0.2041500381
398	0.20405271
399	0.2039533159
400	0.2038504328
401	0.2037699968
402	0.2036937737
403	0.2035854361
404	0.2035150146
405	0.2034232031
406	0.2033567018
407	0.2032797604
408	0.2032061035
409	0.2031464917
410	0.203011115
411	0.2029613665
412	0.2029018935
413	0.2028152018
414	0.20265469
415	0.202585477
416	0.2025068957
417	0.2024265471
418	0.2023670205
419	0.202304736
420	0.2022294354
421	0.2021564908
422	0.2020164578
423	0.2019176546
424	0.2018709907
425	0.2018152338
426	0.2017318869
427	0.20165633
428	0.2015194142
429	0.2013994884
430	0.2013198263
431	0.201245541
432	0.2011532175
433	0.2010902765
434	0.2010058557
435	0.2009499951
436	0.2009139229
437	0.2008419544
438	0.2007741411
439	0.2006574872
440	0.200589467
441	0.2005160726
442	0.2004329781
443	0.2003313107
444	0.2002279419
445	0.2001802805
446	0.2001259612
447	0.2000588958
448	0.2000039887
449	0.1999279466
450	0.1998281554
451	0.199752482
452	0.1996946602
453	0.1996411081
454	0.1995616949
455	0.1994987048
456	0.1993936151
457	0.1992574654
458	0.199164106
459	0.1990929587
460	0.1990336975
461	0.198938764
462	0.1988762771
463	0.1987630577
464	0.198696924
465	0.1986350915
466	0.1985732148
467	0.1985126718
468	0.1984589247
469	0.198366265
470	0.1983197001
471	0.1982494187
472	0.1981496425
473	0.1980564496
474	0.1980097973
475	0.1979229135
476	0.1978548534
477	0.1977412338
478	0.197665937
479	0.19761422
480	0.1975564651
481	0.1974564987
482	0.1974175584
483	0.1973523066
484	0.1972452701
485	0.1971585124
486	0.1970245847
487	0.1968771945
488	0.1968441726
489	0.1967778968
490	0.1967155821
491	0.1966314106
492	0.1965650889
493	0.196482404
494	0.196423807
495	0.1962873087
496	0.1962082098
497	0.1961396695
498	0.1960717021
499	0.1959764275
500	0.1959047038
501	0.19584919
502	0.1957494053
503	0.195626612
504	0.1955104057
505	0.19543128
506	0.1953720373
507	0.1953099548
508	0.1952504662
509	0.1951585294
510	0.1950925948
511	0.1949988985
512	0.1949099934
513	0.194852469
514	0.1947927586
515	0.1947374933
516	0.194676748
517	0.1946050366
518	0.1945226578
519	0.194448559
520	0.1943897845
521	0.1943336102
522	0.1942696002
523	0.1941830471
524	0.1941349825
525	0.1940571439
526	0.1939854999
527	0.1938945141
528	0.1938237069
529	0.1937739974
530	0.193700956
531	0.1936455582
532	0.1935291767
533	0.1934354189
534	0.1933896064
535	0.1933270504
536	0.1932608683
537	0.193191811
538	0.1930944452
539	0.19304622
540	0.1929972049
541	0.1929505806
542	0.1928987955
543	0.1928431452
544	0.1928158189
545	0.1927480443
546	0.1926619853
547	0.1925988711
548	0.1925069159
549	0.1924674616
550	0.1924154323
551	0.1923545853
552	0.1922894803
553	0.1922130221
554	0.1921690488
555	0.1920584784
556	0.1919988213
557	0.1919549727
558	0.191890798
559	0.1918313078
560	0.1917861245
561	0.1917251699
562	0.1916598892
563	0.1915870413
564	0.1914375843
565	0.1913997941
566	0.191346205
567	0.1912897758
568	0.1912324866
569	0.1911722867
570	0.1911327243
571	0.1910674376
572	0.1909639906
573	0.1908836689
574	0.1908138389
575	0.1907612244
576	0.1907040085
577	0.1906211736
578	0.1905612762
579	0.1904947961
580	0.190442042
581	0.1903497952
582	0.1902859318
583	0.1902219286
584	0.190153662
585	0.1900872953
586	0.1900331197
587	0.1899557677
588	0.1898969153
589	0.1898397331
590	0.1897839357
591	0.1897161406
592	0.1896344195
593	0.189557183
594	0.1894989115
595	0.1894556412
596	0.1894072946
597	0.1893580016
598	0.1892740192
599	0.1892251273
600	0.1891334437
601	0.1889987454
602	0.1889353457
603	0.1888696758
604	0.1888362907
605	0.1887822636
606	0.1887124118
607	0.1886561469
608	0.1886124039
609	0.1885554237
610	0.1885049014
611	0.1884137425
612	0.1883427586
613	0.1882693049
614	0.1881954644
615	0.1880878068
616	0.1880040696
617	0.1879281148
618	0.1878844995
619	0.1878337633
620	0.1877651636
621	0.1877074271
622	0.1876553143
623	0.1876106696
624	0.1875310711
625	0.1874527577
626	0.1874041669
627	0.1873439
628	0.1872558418
629	0.1872131315
630	0.1871662325
631	0.1870895183
632	0.1870418788
633	0.1869801699
634	0.1869238243
635	0.186880921
636	0.1868260648
637	0.1867761572
638	0.1867208187
639	0.1866084887
640	0.1865427954
641	0.1864777017
642	0.1863948521
643	0.1863058616
644	0.1862199251
645	0.1861454755
646	0.1860764604
647	0.1860128686
648	0.1859420691
649	0.1858984818
650	0.1858309773
651	0.1857752192
652	0.1857213228
653	0.1856744158
654	0.1856269198
655	0.1855525881
656	0.1855122122
657	0.1854804736
658	0.1854059553
659	0.1853493375
660	0.1852705748
661	0.1852348104
662	0.1851951448
663	0.1851587104
664	0.1851020594
665	0.1850380629
666	0.1849703689
667	0.1848841864
668	0.1848282534
669	0.1847359333
670	0.1846815731
671	0.1846291052
672	0.1845580103
673	0.1845245315
674	0.1844690754
675	0.1844255532
676	0.1843892232
677	0.184308932
678	0.1842538286
679	0.1842194751
680	0.1841683233
681	0.1841019903
682	0.1840434057
683	0.1839920119
684	0.1839491646
685	0.1839089027
686	0.1838551063
687	0.183825613
688	0.1837748204
689	0.1837212911
690	0.183643111
691	0.1836049171
692	0.1835339834
693	0.1834999882
694	0.1834247732
695	0.1833829343
696	0.1832999797
697	0.1832691392
698	0.1832355108
699	0.1831668689
700	0.1831389934
701	0.183066443
702	0.1830358234
703	0.1829990215
704	0.1829491129
705	0.1828393364
706	0.1828072173
707	0.1827415638
708	0.1826719481
709	0.1826254892
710	0.1825584579
711	0.1825004588
712	0.1824709659
713	0.1823883273
714	0.1823399846
715	0.1823087009
716	0.1822653281
717	0.1822211124
718	0.1821843693
719	0.1821485669
720	0.1820806994
721	0.1820208383
722	0.1819823686
723	0.1819454132
724	0.1818943743
725	0.1818417163
726	0.1817763614
727	0.1817345636
728	0.1816660044
729	0.1816165466
730	0.1815635011
731	0.1815214846
732	0.1814739476
733	0.1814098941
734	0.1813807077
735	0.1812999733
736	0.1812653868
737	0.181182827
738	0.1811359328
739	0.1810826563
740	0.1810325911
741	0.1809793771
742	0.1809202105
743	0.1808913042
744	0.1808147655
745	0.1807764301
746	0.1807347761
747	0.1806812669
748	0.1806495386
749	0.1805866603
750	0.1805630365
751	0.1805106162
752	0.1804700348
753	0.1804189455
754	0.1803319664
755	0.1802913666
756	0.1802684364
757	0.1802206312
758	0.1801720644
759	0.1801123409
760	0.1800414768
761	0.1799608954
762	0.1798901505
763	0.1798295067
764	0.1797891687
765	0.1797463127
766	0.1796866232
767	0.1796504915
768	0.1796148603
769	0.1795899114
770	0.1795260273
771	0.1794640263
772	0.1793635946
773	0.1793207631
774	0.179267129
775	0.1792223494
776	0.1791672686
777	0.179123009
778	0.179056632
779	0.179016073
780	0.1789572509
781	0.1789105985
782	0.1788729216
783	0.1788501514
784	0.1788084454
785	0.1787451041
786	0.178701643
787	0.1786388209
788	0.1785761456
789	0.178503197
790	0.1784682582
791	0.1784203495
792	0.1783666349
793	0.1783196565
794	0.1782913924
795	0.1782145935
796	0.1781793667
797	0.1781260271
798	0.1780919657
799	0.1780465458
