iter	Passed	Remaining
231	966	2366
232	970	2362
233	974	2358
234	979	2354
235	983	2349
236	987	2346
237	992	2342
238	996	2339
239	1001	2335
240	1006	2334
241	1011	2331
242	1016	2329
243	1020	2326
244	1024	2321
245	1028	2316
246	1032	2312
247	1036	2307
248	1041	2304
249	1045	2299
250	1049	2295
251	1053	2290
252	1057	2286
253	1061	2282
254	1065	2278
255	1070	2273
256	1074	2270
257	1078	2265
258	1082	2260
259	1086	2256
260	1090	2252
261	1094	2247
262	1098	2242
263	1102	2238
264	1106	2234
265	1110	2230
266	1114	2225
267	1119	2221
268	1123	2217
269	1127	2213
270	1132	2209
271	1136	2205
272	1140	2201
273	1144	2197
274	1148	2192
275	1152	2187
276	1156	2183
277	1160	2178
278	1165	2175
279	1169	2171
280	1173	2167
281	1177	2163
282	1182	2159
283	1186	2155
284	1190	2151
285	1194	2146
286	1198	2142
287	1202	2138
288	1206	2133
289	1210	2129
290	1214	2124
291	1219	2120
292	1223	2116
293	1227	2112
294	1231	2108
295	1235	2104
296	1239	2099
297	1243	2095
298	1247	2090
299	1251	2086
300	1255	2082
301	1259	2077
302	1263	2073
303	1267	2068
304	1271	2064
305	1276	2060
306	1280	2056
307	1284	2052
308	1289	2048
309	1293	2043
310	1297	2039
311	1300	2034
312	1305	2030
313	1309	2026
314	1313	2021
315	1316	2017
316	1320	2012
317	1324	2007
318	1328	2003
319	1332	1998
320	1336	1994
321	1341	1991
322	1345	1987
323	1349	1983
324	1353	1978
325	1358	1974
326	1362	1970
327	1366	1966
328	1370	1961
329	1374	1957
330	1378	1952
331	1382	1948
332	1386	1943
333	1390	1939
334	1394	1935
335	1398	1930
336	1402	1926
337	1406	1922
338	1410	1918
339	1414	1913
340	1418	1909
341	1423	1906
342	1427	1902
343	1432	1898
344	1436	1894
345	1440	1890
346	1444	1886
347	1449	1882
348	1453	1878
349	1457	1873
350	1461	1869
351	1465	1865
352	1469	1860
353	1473	1856
354	1478	1852
355	1483	1849
356	1487	1845
357	1491	1841
358	1495	1836
359	1499	1832
360	1503	1828
361	1507	1824
362	1511	1820
363	1516	1815
364	1520	1811
365	1524	1807
366	1528	1803
367	1533	1799
368	1537	1795
369	1541	1791
370	1545	1787
371	1549	1782
372	1553	1778
373	1557	1774
374	1561	1769
375	1565	1765
376	1569	1761
377	1573	1756
378	1577	1752
379	1581	1748
380	1585	1744
381	1590	1739
382	1593	1735
383	1597	1730
384	1602	1726
385	1606	1723
386	1610	1718
387	1614	1714
388	1618	1710
389	1622	1706
390	1626	1701
391	1630	1697
392	1634	1692
393	1638	1688
394	1642	1684
395	1646	1680
396	1650	1675
397	1655	1671
398	1659	1667
399	1663	1663
400	1667	1659
401	1671	1654
402	1675	1650
403	1679	1646
404	1683	1642
405	1687	1638
406	1692	1633
407	1696	1629
408	1700	1625
409	1704	1621
410	1708	1617
411	1712	1613
412	1717	1609
413	1721	1604
414	1725	1601
415	1730	1597
416	1734	1593
417	1738	1589
418	1743	1585
419	1747	1581
420	1752	1577
421	1757	1573
422	1761	1569
423	1765	1565
424	1769	1561
425	1773	1557
426	1777	1552
427	1781	1548
428	1785	1544
429	1790	1540
430	1793	1535
431	1798	1531
432	1802	1527
433	1806	1523
434	1810	1519
435	1814	1515
436	1818	1510
437	1822	1506
438	1826	1502
439	1831	1498
440	1835	1494
441	1839	1490
442	1843	1485
443	1848	1481
444	1852	1477
445	1855	1473
446	1860	1469
447	1864	1465
448	1868	1461
449	1873	1456
450	1877	1452
451	1881	1448
452	1885	1444
453	1890	1440
454	1894	1436
455	1898	1432
456	1902	1428
457	1907	1424
458	1911	1419
459	1915	1415
460	1919	1411
461	1923	1407
462	1927	1403
463	1931	1398
464	1935	1394
465	1939	1390
466	1943	1386
467	1947	1381
468	1951	1377
469	1955	1373
470	1959	1368
471	1963	1364
472	1968	1360
473	1972	1356
474	1976	1352
475	1980	1348
476	1984	1343
477	1988	1339
478	1992	1335
479	1997	1331
480	2001	1327
481	2005	1323
482	2009	1318
483	2014	1315
484	2018	1311
485	2023	1307
486	2027	1303
487	2031	1298
488	2035	1294
489	2039	1290
490	2043	1286
491	2047	1282
492	2052	1277
493	2056	1273
494	2060	1269
495	2064	1265
496	2068	1261
497	2072	1257
498	2077	1252
499	2081	1248
500	2085	1244
501	2089	1240
502	2093	1236
503	2097	1231
504	2101	1227
505	2106	1223
506	2110	1219
507	2114	1215
508	2119	1211
509	2123	1207
510	2127	1203
511	2131	1199
512	2136	1195
513	2140	1190
514	2144	1186
515	2149	1182
516	2153	1178
517	2157	1174
518	2161	1170
519	2166	1166
520	2170	1162
521	2174	1158
522	2179	1154
523	2183	1149
524	2187	1145
525	2191	1141
526	2195	1137
527	2200	1133
528	2204	1129
529	2208	1124
530	2212	1120
531	2216	1116
532	2220	1112
533	2224	1108
534	2228	1103
535	2232	1099
536	2236	1095
537	2240	1091
538	2244	1086
539	2248	1082
540	2252	1078
541	2256	1074
542	2261	1070
543	2265	1066
544	2269	1061
545	2273	1057
546	2277	1053
547	2281	1049
548	2285	1045
549	2289	1040
550	2293	1036
551	2297	1032
552	2301	1028
553	2305	1023
554	2309	1019
555	2315	1016
556	2319	1012
557	2323	1007
558	2327	1003
559	2331	999
560	2335	995
561	2340	991
562	2344	987
563	2349	982
564	2353	978
565	2357	974
566	2361	970
567	2365	966
568	2369	962
569	2373	957
570	2377	953
571	2382	949
572	2386	945
573	2390	941
574	2394	937
575	2399	933
576	2403	928
577	2407	924
578	2411	920
579	2415	916
580	2419	912
581	2423	907
582	2427	903
583	2432	899
584	2436	895
585	2440	891
586	2444	886
587	2448	882
588	2452	878
589	2456	874
590	2460	870
591	2464	866
592	2469	861
593	2473	857
594	2478	853
595	2482	849
596	2486	845
597	2490	841
598	2495	837
599	2499	833
600	2503	828
601	2507	824
602	2511	820
603	2515	816
604	2519	812
605	2523	807
606	2527	803
607	2532	799
608	2536	795
609	2540	791
610	2544	787
611	2549	783
612	2553	778
613	2557	774
614	2561	770
615	2565	766
616	2569	762
617	2573	758
618	2578	753
619	2582	749
620	2587	745
621	2591	741
622	2595	737
623	2599	733
624	2603	729
625	2607	724
626	2611	720
627	2616	716
628	2620	712
629	2624	708
630	2629	704
631	2633	700
632	2637	695
633	2642	691
634	2646	687
635	2650	683
636	2654	679
637	2658	675
638	2662	670
639	2666	666
640	2671	662
641	2675	658
642	2680	654
643	2684	650
644	2688	646
645	2693	642
646	2697	637
647	2701	633
648	2705	629
649	2709	625
650	2714	621
651	2718	616
652	2722	612
653	2726	608
654	2730	604
655	2735	600
656	2738	596
657	2742	591
658	2747	587
659	2751	583
660	2756	579
661	2761	575
662	2765	571
663	2769	567
664	2773	563
665	2777	558
666	2781	554
667	2786	550
668	2790	546
669	2794	542
670	2798	538
671	2803	533
672	2807	529
673	2811	525
674	2815	521
675	2819	517
676	2824	513
677	2828	508
678	2832	504
679	2836	500
680	2840	496
681	2844	492
682	2849	488
683	2853	483
684	2857	479
685	2861	475
686	2865	471
687	2870	467
688	2874	463
689	2878	458
690	2882	454
691	2886	450
692	2890	446
693	2895	442
694	2899	438
695	2903	433
696	2907	429
697	2911	425
698	2915	421
699	2919	417
700	2923	412
701	2927	408
702	2931	404
703	2935	400
704	2940	396
705	2945	392
706	2949	387
707	2953	383
708	2957	379
709	2961	375
710	2966	371
711	2970	367
712	2974	362
713	2978	358
714	2983	354
715	2987	350
716	2991	346
717	2995	342
718	2999	337
719	3003	333
720	3007	329
721	3012	325
722	3016	321
723	3020	317
724	3024	312
725	3029	308
726	3033	304
727	3037	300
728	3041	296
729	3045	292
730	3050	287
731	3054	283
732	3058	279
733	3062	275
734	3066	271
735	3070	267
736	3074	262
737	3079	258
738	3083	254
739	3087	250
740	3091	246
741	3095	241
742	3099	237
743	3103	233
744	3107	229
745	3112	225
746	3116	221
747	3120	216
748	3124	212
749	3129	208
750	3133	204
751	3137	200
752	3141	196
753	3145	191
754	3150	187
755	3154	183
756	3158	179
757	3162	175
758	3167	171
759	3172	166
760	3176	162
761	3180	158
762	3184	154
763	3189	150
764	3193	146
765	3197	141
766	3201	137
767	3205	133
768	3209	129
769	3213	125
770	3217	121
771	3221	116
772	3226	112
773	3230	108
774	3234	104
775	3238	100
776	3242	95
777	3246	91
778	3251	87
779	3256	83
780	3260	79
781	3264	75
782	3268	70
783	3272	66
784	3276	62
785	3281	58
786	3285	54
787	3290	50
788	3294	45
789	3298	41
790	3302	37
791	3306	33
792	3310	29
793	3314	25
794	3318	20
795	3322	16
796	3327	12
797	3331	8
798	3335	4
799	3339	0
